,id,organization_id,url,age,gender,size,coat,tags,name,organization_animal_id,status,status_changed_at,published_at,delta_time,primary_breed,secondary_breed,is_mixed,is_unknown,compatible_children,compatible_dogs,compatible_cats,spayed_neutered,house_trained,special_needs,shots_current,primary_color,secondary_color,tertiary_color
3793,59274030,ME97,https://www.petfinder.com/dog/maddie-59274030/me/lebanon/alpha-dog-rescue-me97/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Adult,Female,Medium,Wire,"['Playful', 'Smart', 'Gentle', 'Quiet', 'Friendly', 'Loyal', 'Funny', 'Couch potato', 'Dignified', 'Curious']",Maddie,,adopted,2023-05-01 19:03:32+00:00,2022-12-28 01:45:48+00:00,124 days 17:17:44,Border Terrier,Mixed Breed,True,False,,False,False,True,True,False,True,Apricot / Beige,White / Cream,
3794,59274031,TX1779,https://www.petfinder.com/dog/patches-the-beagle-daschsund-pup-59274031/wi/muskego/texas-rescue-riders-inc-tx1779/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Female,Small,Short,"['Playful', 'Gentle', 'Brave']",Patches the Beagle/Daschsund Pup,,adopted,2022-12-29 20:32:20+00:00,2022-12-28 01:45:42+00:00,1 days 18:46:38,Dachshund,Beagle,True,False,True,True,,False,True,False,True,Yellow / Tan / Blond / Fawn,,
3795,59274015,PA992,https://www.petfinder.com/dog/molasses-59274015/pa/kutztown/brindle-buddies-and-friends-pa992/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Adult,Male,Medium,Short,"['Friendly', 'Affectionate', 'Loyal', 'Gentle', 'Playful', 'Smart', 'Brave', 'Curious', 'Independent', 'Funny', 'Athletic', 'Loves kisses', 'Couch potato', 'Dignified']",Molasses,,adopted,2022-12-31 14:30:25+00:00,2022-12-28 01:43:33+00:00,3 days 12:46:52,Chocolate Labrador Retriever,,True,False,,,,True,True,False,True,,,
3796,59274013,WV62,https://www.petfinder.com/dog/boomer-59274013/wv/martinsburg/berkeley-county-humane-society-wv62/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Adult,Male,Medium,Short,"['Friendly', 'Affectionate', 'Couch potato']",Boomer,,adopted,2022-12-28 20:29:03+00:00,2022-12-28 01:43:14+00:00,0 days 18:45:49,Coonhound,,False,False,True,True,,False,False,True,False,"Tricolor (Brown, Black, & White)",,
3797,59274011,AL387,https://www.petfinder.com/dog/laci-59274011/al/grand-bay/wags-and-whiskers-al387/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Female,Medium,Medium,['Independent'],Laci,,adopted,2023-01-01 18:35:24+00:00,2022-12-28 01:43:01+00:00,4 days 16:52:23,Flat-Coated Retriever,German Shepherd Dog,True,False,True,True,True,True,False,False,True,Bicolor,,
3798,59274006,AL387,https://www.petfinder.com/dog/luci-59274006/al/grand-bay/wags-and-whiskers-al387/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Female,Medium,Medium,['Independent'],Luci,,adopted,2023-01-17 16:17:43+00:00,2022-12-28 01:42:20+00:00,20 days 14:35:23,Flat-Coated Retriever,German Shepherd Dog,True,False,True,True,True,True,False,False,True,Bicolor,,
3799,59274005,IN586,https://www.petfinder.com/dog/elnora-59274005/in/mooresville/hope-haven-canine-rescue-inc-in586/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Female,Medium,,[],Elnora,,adopted,2023-01-19 23:12:23+00:00,2022-12-28 01:42:15+00:00,22 days 21:30:08,Aussiedoodle,Australian Cattle Dog / Blue Heeler,True,False,True,True,True,True,False,False,True,,,
3800,59274002,CA2314,https://www.petfinder.com/dog/kyra-59274002/ca/san-diego/animal-donation-advocate-ca2314/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Young,Female,Large,Short,"['Affectionate', 'Playful', 'Athletic', 'Friendly']",Kyra,,adopted,2023-01-25 03:31:50+00:00,2022-12-28 01:42:04+00:00,28 days 01:49:46,Labrador Retriever,Border Collie,True,False,True,True,,True,True,False,True,Black,,
3801,59273999,AL387,https://www.petfinder.com/dog/layni-59273999/al/grand-bay/wags-and-whiskers-al387/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Female,Medium,Medium,['Independent'],Layni,,adopted,2023-01-12 22:11:33+00:00,2022-12-28 01:41:49+00:00,15 days 20:29:44,Flat-Coated Retriever,German Shepherd Dog,True,False,True,True,True,True,False,False,True,Bicolor,,
3802,59273997,TX268,https://www.petfinder.com/dog/ronald-59273997/tx/el-paso/humane-society-of-el-paso-tx268/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Young,Male,Large,,[],Ronald,D2022941,adopted,2023-11-18 22:24:28+00:00,2022-12-28 01:41:45+00:00,325 days 20:42:43,Australian Cattle Dog / Blue Heeler,,True,False,,True,,True,True,False,False,,,
